task_id,worker_id,human_label,llm_label,generator_1,generator_2,premise
t_21,w_gpt-3.5-turbo-0125,0,0,gpt,plan_write,Write the saddest story you can make from the perspective of an animal .
t_22,w_gpt-3.5-turbo-0125,0,0,gpt,plan_write,"An ancient immortal soldier who has traveled the world learning from history 's greatest warriors and army 's since the beginning of civilization comes across the Vikings , and decides to join their society ."
t_23,w_gpt-3.5-turbo-0125,0,1,gpt,s2s,Write the saddest story you can make from the perspective of an animal .
t_24,w_gpt-3.5-turbo-0125,0,0,gpt,s2s,"An ancient immortal soldier who has traveled the world learning from history 's greatest warriors and army 's since the beginning of civilization comes across the Vikings , and decides to join their society ."
t_25,w_gpt-3.5-turbo-0125,1,1,gpt,gpt_kg,Write the saddest story you can make from the perspective of an animal .
t_26,w_gpt-3.5-turbo-0125,1,1,gpt,gpt_kg,"An ancient immortal soldier who has traveled the world learning from history 's greatest warriors and army 's since the beginning of civilization comes across the Vikings , and decides to join their society ."
t_27,w_gpt-3.5-turbo-0125,0,1,gpt,fusion,Write the saddest story you can make from the perspective of an animal .
t_28,w_gpt-3.5-turbo-0125,0,0,gpt,fusion,"An ancient immortal soldier who has traveled the world learning from history 's greatest warriors and army 's since the beginning of civilization comes across the Vikings , and decides to join their society ."
t_29,w_gpt-3.5-turbo-0125,0,1,plan_write,s2s,Write the saddest story you can make from the perspective of an animal .
t_30,w_gpt-3.5-turbo-0125,1,1,plan_write,s2s,"An ancient immortal soldier who has traveled the world learning from history 's greatest warriors and army 's since the beginning of civilization comes across the Vikings , and decides to join their society ."
t_31,w_gpt-3.5-turbo-0125,1,1,plan_write,gpt_kg,Write the saddest story you can make from the perspective of an animal .
t_32,w_gpt-3.5-turbo-0125,1,1,plan_write,gpt_kg,"An ancient immortal soldier who has traveled the world learning from history 's greatest warriors and army 's since the beginning of civilization comes across the Vikings , and decides to join their society ."
t_33,w_gpt-3.5-turbo-0125,0,1,plan_write,fusion,Write the saddest story you can make from the perspective of an animal .
t_34,w_gpt-3.5-turbo-0125,1,1,plan_write,fusion,"An ancient immortal soldier who has traveled the world learning from history 's greatest warriors and army 's since the beginning of civilization comes across the Vikings , and decides to join their society ."
t_35,w_gpt-3.5-turbo-0125,1,1,s2s,gpt_kg,Write the saddest story you can make from the perspective of an animal .
t_36,w_gpt-3.5-turbo-0125,1,1,s2s,gpt_kg,"An ancient immortal soldier who has traveled the world learning from history 's greatest warriors and army 's since the beginning of civilization comes across the Vikings , and decides to join their society ."
t_37,w_gpt-3.5-turbo-0125,1,0,s2s,fusion,Write the saddest story you can make from the perspective of an animal .
t_38,w_gpt-3.5-turbo-0125,1,0,s2s,fusion,"An ancient immortal soldier who has traveled the world learning from history 's greatest warriors and army 's since the beginning of civilization comes across the Vikings , and decides to join their society ."
t_39,w_gpt-3.5-turbo-0125,0,0,gpt_kg,fusion,Write the saddest story you can make from the perspective of an animal .
t_40,w_gpt-3.5-turbo-0125,0,0,gpt_kg,fusion,"An ancient immortal soldier who has traveled the world learning from history 's greatest warriors and army 's since the beginning of civilization comes across the Vikings , and decides to join their society ."
