task_id,worker_id,human_label,llm_label,generator_1,generator_2,premise
t_1,w_gpt-3.5-turbo-0125,0,0,gpt,plan_write,Write the saddest story you can make from the perspective of an animal .
t_2,w_gpt-3.5-turbo-0125,0,0,gpt,plan_write,"An ancient immortal soldier who has traveled the world learning from history 's greatest warriors and army 's since the beginning of civilization comes across the Vikings , and decides to join their society ."
t_3,w_gpt-3.5-turbo-0125,0,0,gpt,s2s,Write the saddest story you can make from the perspective of an animal .
t_4,w_gpt-3.5-turbo-0125,0,0,gpt,s2s,"An ancient immortal soldier who has traveled the world learning from history 's greatest warriors and army 's since the beginning of civilization comes across the Vikings , and decides to join their society ."
t_5,w_gpt-3.5-turbo-0125,1,1,gpt,gpt_kg,Write the saddest story you can make from the perspective of an animal .
t_6,w_gpt-3.5-turbo-0125,1,1,gpt,gpt_kg,"An ancient immortal soldier who has traveled the world learning from history 's greatest warriors and army 's since the beginning of civilization comes across the Vikings , and decides to join their society ."
t_7,w_gpt-3.5-turbo-0125,0,1,gpt,fusion,Write the saddest story you can make from the perspective of an animal .
t_8,w_gpt-3.5-turbo-0125,0,0,gpt,fusion,"An ancient immortal soldier who has traveled the world learning from history 's greatest warriors and army 's since the beginning of civilization comes across the Vikings , and decides to join their society ."
t_9,w_gpt-3.5-turbo-0125,0,0,plan_write,s2s,Write the saddest story you can make from the perspective of an animal .
t_10,w_gpt-3.5-turbo-0125,1,1,plan_write,s2s,"An ancient immortal soldier who has traveled the world learning from history 's greatest warriors and army 's since the beginning of civilization comes across the Vikings , and decides to join their society ."
t_11,w_gpt-3.5-turbo-0125,1,1,plan_write,gpt_kg,Write the saddest story you can make from the perspective of an animal .
t_12,w_gpt-3.5-turbo-0125,1,1,plan_write,gpt_kg,"An ancient immortal soldier who has traveled the world learning from history 's greatest warriors and army 's since the beginning of civilization comes across the Vikings , and decides to join their society ."
t_13,w_gpt-3.5-turbo-0125,0,1,plan_write,fusion,Write the saddest story you can make from the perspective of an animal .
t_14,w_gpt-3.5-turbo-0125,1,1,plan_write,fusion,"An ancient immortal soldier who has traveled the world learning from history 's greatest warriors and army 's since the beginning of civilization comes across the Vikings , and decides to join their society ."
t_15,w_gpt-3.5-turbo-0125,1,1,s2s,gpt_kg,Write the saddest story you can make from the perspective of an animal .
t_16,w_gpt-3.5-turbo-0125,1,1,s2s,gpt_kg,"An ancient immortal soldier who has traveled the world learning from history 's greatest warriors and army 's since the beginning of civilization comes across the Vikings , and decides to join their society ."
t_17,w_gpt-3.5-turbo-0125,1,1,s2s,fusion,Write the saddest story you can make from the perspective of an animal .
t_18,w_gpt-3.5-turbo-0125,1,0,s2s,fusion,"An ancient immortal soldier who has traveled the world learning from history 's greatest warriors and army 's since the beginning of civilization comes across the Vikings , and decides to join their society ."
t_19,w_gpt-3.5-turbo-0125,0,0,gpt_kg,fusion,Write the saddest story you can make from the perspective of an animal .
t_20,w_gpt-3.5-turbo-0125,0,0,gpt_kg,fusion,"An ancient immortal soldier who has traveled the world learning from history 's greatest warriors and army 's since the beginning of civilization comes across the Vikings , and decides to join their society ."
