task_id,worker_id,human_label,llm_label,generator_1,generator_2,premise
t_6001,w_gemini-pro-rate-explain,0,0,gpt,plan_write,Write the saddest story you can make from the perspective of an animal .
t_6002,w_gemini-pro-rate-explain,0,0,gpt,s2s,Write the saddest story you can make from the perspective of an animal .
t_6003,w_gemini-pro-rate-explain,1,1,gpt,gpt_kg,Write the saddest story you can make from the perspective of an animal .
t_6004,w_gemini-pro-rate-explain,0,0,gpt,fusion,Write the saddest story you can make from the perspective of an animal .
t_6005,w_gemini-pro-rate-explain,0,1,plan_write,s2s,Write the saddest story you can make from the perspective of an animal .
t_6006,w_gemini-pro-rate-explain,1,1,plan_write,gpt_kg,Write the saddest story you can make from the perspective of an animal .
t_6007,w_gemini-pro-rate-explain,0,0,plan_write,fusion,Write the saddest story you can make from the perspective of an animal .
t_6008,w_gemini-pro-rate-explain,1,1,s2s,gpt_kg,Write the saddest story you can make from the perspective of an animal .
t_6009,w_gemini-pro-rate-explain,1,1,s2s,fusion,Write the saddest story you can make from the perspective of an animal .
t_6010,w_gemini-pro-rate-explain,0,1,gpt_kg,fusion,Write the saddest story you can make from the perspective of an animal .
